coords,res
2891,41
2892,41
2893,41
2895,41
2898,41
2900,41
2901,41
2902,41
2903,42
2904,42
2906,42
2907,42
2910,42
2912,42
2914,42
2915,42
2917,42
2918,42
2920,42
2921,42
2922,42
2924,42
2926,42
2927,42
2930,42
2931,42
2935,42
2937,42
2938,42
2939,42
2941,42
2942,42
2946,42
2947,42
2948,42
2952,42
2953,42
2958,42
2960,42
2967,42
2973,42
2974,42
2976,42
2977,42
2978,42
2979,42
2980,42
2981,42
2984,42
2986,42
2990,42
2991,42
2993,42
2994,42
2995,42
2996,42
2998,42
2999,42
3000,42
3001,42
3002,42
3005,42
3009,42
3010,42
3012,42
3013,42
3016,42
3017,42
3018,42
3023,42
3026,42
3028,42
3029,42
3036,42
3037,43
3040,43
3044,43
3046,43
3047,43
3049,43
3052,43
3053,43
3054,43
3055,43
3059,43
3060,43
3061,43
3062,43
3064,43
3065,43
3066,43
3067,43
3072,43
3074,43
3080,43
3081,43
3083,43
3084,43
3087,43
3089,43
3090,43
3091,43
3092,43
3093,43
3094,43
3098,43
3101,43
3110,43
3112,43
3114,43
3116,43
3118,43
3120,43
3122,43
3123,43
3124,43
3128,43
3131,43
3133,43
3135,43
3136,43
3137,43
3138,43
3140,43
3144,43
3148,43
3149,43
3152,43
3154,43
3156,43
3160,43
3164,43
3166,43
3169,43
3174,43
3176,44
3177,44
3178,44
3179,44
3181,44
3183,44
3185,44
3186,44
3187,44
3188,44
3190,44
3195,44
3196,44
3197,44
3200,44
3202,44
3203,44
3205,44
3207,44
3208,44
3210,44
3213,44
3216,44
3219,44
3222,44
3224,44
3228,44
3229,44
3231,44
3235,44
3237,44
3241,44
3242,44
3246,44
3250,44
3251,44
3255,44
3256,44
3258,44
3259,44
3260,44
3263,44
3265,44
3267,44
3270,44
3269,44
3272,44
3274,44
3275,44
3277,44
3281,44
3282,44
3284,44
3283,44
3286,45
3287,44
3289,44
3290,44
3291,44
3292,45
3293,45
3297,45
3302,45
3303,45
3310,45
3313,45
3312,45
3317,45
3319,45
3320,45
3321,45
3322,45
3325,45
3327,45
3329,45
3328,45
3330,45
3331,45
3336,45
3337,45
3341,45
3345,45
3342,45
3347,45
3343,45
3351,45
3348,45
3353,45
3355,45
3359,45
3364,45
3365,45
3366,45
3369,45
3371,45
3367,45
3372,45
3378,45
3379,45
3380,45
3385,45
3387,45
3389,45
3392,45
3393,45
3396,45
3398,45
3400,45
3402,45
3405,45
3408,45
3410,45
3413,45
3418,45
3420,45
3425,45
3430,45
3432,45
3438,45
3440,45
3439,45
3442,45
3444,45
3445,45
3448,45
3449,45
3451,45
3452,46
3453,46
3454,46
3457,46
3463,46
3465,46
3464,46
3467,46
3469,46
3470,46
3474,46
3478,46
3476,46
3481,46
3482,46
3483,46
3487,46
3490,46
3488,46
3493,46
3496,46
3495,46
3501,46
3503,46
3504,46
3506,46
3510,46
3511,46
3514,46
3515,46
3516,46
3519,46
3523,46
3527,46
3525,46
3524,46
3529,46
3533,46
3536,46
3535,46
3537,46
3540,46
3541,46
3542,46
3544,46
3545,46
3546,46
3547,46
3551,46
3550,46
3552,46
3555,46
3553,46
3554,46
3561,46
3563,46
3565,46
3567,46
3566,46
3570,46
3572,46
3573,46
3577,46
3581,46
3584,46
3582,46
3583,46
3585,46
3586,46
3587,47
3590,47
3588,47
3593,47
3592,47
3595,47
3594,47
3596,47
3598,47
3602,47
3599,47
3600,47
3603,47
3604,47
3605,47
3608,47
3607,47
3609,47
3610,47
3611,47
3612,47
3615,47
3614,47
3617,47
3622,47
3626,47
3625,47
3630,47
3632,47
3633,47
3638,47
3639,47
3641,47
3645,47
3644,47
3647,47
3649,47
3652,47
3650,47
3653,47
3654,47
3661,47
3663,47
3662,47
3664,47
3668,47
3670,47
3674,47
3675,47
3676,47
3677,47
3680,47
3682,47
3683,47
3688,47
3691,47
3690,47
3693,47
3694,47
3695,47
3700,47
3701,47
3702,47
3708,47
3709,47
3710,47
3711,48
3713,48
3716,48
3717,48
3719,48
3724,48
3723,48
3725,48
3729,48
3731,48
3733,48
3734,48
3735,48
3737,48
3738,48
3736,48
3741,48
3740,48
3743,48
3745,48
3746,48
3749,48
3752,48
3751,48
3754,48
3753,48
3756,48
3758,48
3761,48
3760,48
3762,48
3764,48
3768,48
3771,48
3776,48
3774,48
3779,48
3778,48
3780,48
3784,48
3785,48
3787,48
3792,48
3795,48
3796,48
3799,48
3798,48
3801,48
3804,48
3805,48
3808,48
3806,48
3807,48
3812,48
3811,48
3816,48
3815,48
3818,48
3825,48
3823,48
3829,48
3830,48
3831,48
3835,48
3837,48
3839,48
3838,48
3843,48
3842,48
3844,48
3845,48
3846,49
3848,49
3853,49
3855,49
3857,49
3862,49
3863,49
3864,49
3866,49
3869,49
3868,49
3874,49
3871,49
3876,49
3875,49
3880,49
3883,49
3884,49
3885,49
3888,49
3889,49
3887,49
3893,49
3894,49
3898,49
3901,49
3899,49
3905,49
3907,49
3904,49
3908,49
3909,49
3917,49
3916,49
3914,49
3919,49
3921,49
3925,49
3927,49
3930,49
3932,49
3935,49
3934,49
3938,49
3941,49
3940,49
3942,49
3946,49
3945,49
3947,49
3948,49
3949,49
3951,49
3956,49
3960,49
3957,49
3961,49
3962,49
3963,49
3965,49
3966,49
3969,49
3973,49
3976,49
3982,49
3977,49
3980,49
3981,49
3988,49
3985,49
3986,49
3989,49
3990,50
3992,50
3991,50
3995,50
3996,50
3998,50
3997,50
3999,50
4001,50
4007,50
4005,50
4006,50
4004,50
4008,50
4009,50
4010,50
4015,50
4018,50
4019,50
4024,50
4023,50
4029,50
4027,50
4028,50
4031,50
4030,50
4035,50
4036,50
4037,50
4040,50
4041,50
4044,50
4043,50
4050,50
4052,50
4051,50
4057,50
4055,50
4058,50
4053,50
4062,50
4067,50
4070,50
4072,50
4073,50
4071,50
4074,50
4077,50
4078,50
4079,50
4081,50
4082,50
4083,50
4084,50
4086,50
4088,50
4092,50
4089,50
4095,50
4093,50
4097,50
4100,50
4105,50
4103,50
4102,50
4107,50
4114,50
4113,50
4115,50
4118,50
4116,50
4124,50
4123,50
4122,51
4121,51
4130,51
4131,51
4127,51
4132,51
4133,51
4136,51
4140,51
4144,51
4150,51
4151,51
4153,51
4157,51
4155,51
4149,51
4146,51
4148,51
4159,51
4161,51
4163,51
4166,51
4169,51
4167,51
4172,51
4173,51
4175,51
4178,51
4177,51
4182,51
4180,51
4184,51
4186,51
4192,51
4194,51
4201,51
4205,51
4209,51
4211,51
4213,51
4224,51
4227,51
4219,51
4223,51
4231,51
4225,51
4238,51
4241,51
4245,51
4247,51
4252,51
4251,51
4258,51
4260,51
4263,51
4267,51
4266,51
4264,51
4268,51
4274,51
4276,51
4277,51
4278,51
4280,51
4281,51
4284,51
4285,51
4286,51
4289,51
4290,51
4292,51
4293,51
4295,51
4294,51
4297,51
4302,51
4304,51
4299,52
4309,52
4311,52
4307,52
4310,52
4317,52
4321,52
4324,52
4316,52
4328,52
4329,52
4330,52
4331,52
4322,52
4327,52
4334,52
4336,52
4337,52
4340,52
4345,52
4338,52
4339,52
4347,52
4352,52
4350,52
4351,52
4357,52
4348,52
4355,52
4359,52
4364,52
4368,52
4374,52
4375,52
4377,52
4376,52
4378,52
4383,52
4387,52
4385,52
4388,52
4386,52
4391,52
4400,52
4395,52
4403,52
4402,52
4405,52
4404,52
4409,52
4412,52
4414,52
4415,52
4418,52
4417,52
4422,52
4421,52
4416,52
4425,52
4427,52
4424,52
4430,52
4433,52
4435,52
4436,52
4446,52
4442,52
4447,52
4448,52
4452,52
4457,52
4456,52
4464,52
4466,52
4461,52
4471,52
4473,52
4480,53
4476,53
4486,53
4488,53
4487,53
4489,53
4492,53
4494,53
4495,53
4502,53
4500,53
4508,53
4506,53
4505,53
4511,53
4510,53
4513,53
4519,53
4516,53
4523,53
4524,53
4522,53
4526,53
4527,53
4528,53
4525,53
4529,53
4535,53
4534,53
4538,53
4536,53
4540,53
4543,53
4546,53
4548,53
4549,53
4553,53
4557,53
4559,53
4561,53
4560,53
4567,53
4570,53
4572,53
4571,53
4569,53
4576,53
4579,53
4578,53
4585,53
4586,53
4587,53
4590,53
4595,53
4591,53
4599,53
4602,53
4603,53
4605,53
4606,53
4607,53
4609,53
4612,53
4614,53
4613,53
4616,53
4617,53
4620,53
4622,53
4625,53
4627,53
4626,54
4628,53
4633,53
4638,53
4639,54
4642,54
4641,54
4644,54
4648,54
4640,54
4656,54
4654,54
4657,54
4658,54
4660,54
4664,54
4665,54
4670,54
4666,54
4652,54
4655,54
4669,54
4672,54
4678,54
4677,54
4679,54
4683,54
4689,54
4686,54
4695,54
4698,54
4687,54
4706,54
4690,54
4705,54
4715,54
4726,54
4724,54
4722,54
4732,54
4728,54
4731,54
4735,54
4733,54
4736,54
4737,54
4743,54
4744,54
4745,54
4757,54
4756,54
4755,54
4746,54
4760,54
4761,54
4769,54
4750,54
4748,54
4759,54
4764,54
4770,54
4777,54
4780,54
4786,54
4789,54
4783,54
4794,54
4798,54
4805,54
4806,54
4803,54
4802,54
4810,54
4807,54
4817,54
4812,54
4815,54
4820,54
4823,55
4824,55
4825,55
4830,55
4827,55
4841,55
4834,55
4836,55
4831,55
4840,55
4846,55
4848,55
4850,55
4852,55
4864,55
4853,55
4855,55
4857,55
4859,55
4856,55
4866,55
4867,55
4868,55
4869,55
4873,55
4874,55
4880,55
4879,55
4881,55
4884,55
4885,55
4887,55
4876,55
4882,55
4893,55
4894,55
4896,55
4895,55
4902,55
4908,55
4909,55
4914,55
4917,55
4919,55
4923,55
4925,55
4927,55
4906,55
4931,55
4920,55
4935,55
4936,55
4933,55
4924,55
4939,55
4929,55
4945,55
4947,55
4949,55
4951,55
4953,55
4955,55
4956,55
4957,55
4958,55
4960,55
4961,55
4963,55
4966,55
4967,55
4972,55
4977,55
4978,55
4979,55
4981,55
4984,56
4985,56
4987,56
4983,56
4992,56
4990,56
4996,56
4997,56
4999,56
4982,56
4998,56
5001,56
4988,56
5003,56
5006,56
5008,56
5016,56
5019,56
5020,56
5017,56
5024,56
5028,56
5013,56
5043,56
5034,56
5037,56
5035,56
5040,56
5041,56
5047,56
